,ID,Pathogens,Link
0,dbAMP_25009,Staphylococcus aureus,Positive
1,dbAMP_21907,Pseudomonas aeruginosa,Positive
2,dbAMP_20724,Escherichia coli,Positive
3,dbAMP_23455,Escherichia coli,Positive
4,dbAMP_32819,Escherichia coli,Positive
5,dbAMP_24009,Salmonella enterica,Positive
6,dbAMP_32472,Bacillus subtilis,Positive
7,dbAMP_21353,Pseudomonas aeruginosa,Positive
8,dbAMP_02806,Staphylococcus aureus,Positive
9,dbAMP_17716,Staphylococcus aureus,Positive
10,dbAMP_23949,Escherichia coli,Positive
11,dbAMP_11058,Escherichia coli,Positive
12,dbAMP_10721,Bacillus subtilis,Positive
13,dbAMP_32468,Bacillus subtilis,Positive
14,14945.0,Enterococcus faecium,Positive
15,dbAMP_24587,Escherichia coli,Positive
16,21533.0,Klebsiella pneumoniae,Positive
17,dbAMP_24822,Bacillus subtilis,Positive
18,dbAMP_18114,Staphylococcus aureus,Positive
19,dbAMP_02679,Escherichia coli,Positive
20,dbAMP_23724,Pseudomonas aeruginosa,Positive
21,dbAMP_19307,Staphylococcus aureus,Positive
22,dbAMP_17900,Escherichia coli,Positive
23,19489.0,Escherichia coli,Positive
24,19686.0,Klebsiella pneumoniae,Positive
25,dbAMP_25425,Escherichia coli,Positive
26,dbAMP_17716,Enterococcus faecalis,Positive
27,DRAMP20877,Enterococcus faecalis,Positive
28,dbAMP_17929,Pseudomonas aeruginosa,Positive
29,19485.0,Klebsiella pneumoniae,Positive
30,dbAMP_17636,Bacillus subtilis,Positive
31,dbAMP_27501,Pseudomonas aeruginosa,Positive
32,dbAMP_17581,Staphylococcus aureus,Positive
33,20014.0,Escherichia coli,Positive
34,dbAMP_11933,Bacillus cereus,Positive
35,dbAMP_21767,Pseudomonas aeruginosa,Positive
36,dbAMP_18682,Pseudomonas aeruginosa,Positive
37,dbAMP_17964,Staphylococcus epidermidis,Positive
38,dbAMP_17990,Escherichia coli,Positive
39,dbAMP_16053,Micrococcus luteus,Positive
40,21179.0,Bacillus subtilis,Positive
41,dbAMP_22007,Bacillus subtilis,Positive
42,19644.0,Escherichia coli,Positive
43,dbAMP_18085,Staphylococcus aureus,Positive
44,dbAMP_21127,Enterococcus faecalis,Positive
45,dbAMP_14773,Micrococcus luteus,Positive
46,19604.0,Enterococcus faecalis,Positive
47,dbAMP_20865,Pseudomonas aeruginosa,Positive
48,dbAMP_33307,Staphylococcus aureus,Positive
49,dbAMP_17467,Klebsiella pneumoniae,Positive
50,dbAMP_14796,Pseudomonas aeruginosa,Positive
51,dbAMP_15977,Pseudomonas aeruginosa,Positive
52,dbAMP_28831,Bacillus subtilis,Positive
53,dbAMP_04077,Salmonella enterica,Positive
54,dbAMP_33108,Staphylococcus epidermidis,Positive
55,18754.0,Bacillus subtilis,Positive
56,dbAMP_02987,Pseudomonas aeruginosa,Positive
57,22292.0,Acinetobacter baumannii,Positive
58,dbAMP_17515,Pseudomonas aeruginosa,Positive
59,20179.0,Escherichia coli,Positive
60,dbAMP_00627,Bacillus subtilis,Positive
61,18174.0,Bacillus subtilis,Positive
62,dbAMP_25439,Pseudomonas aeruginosa,Positive
63,dbAMP_20820,Salmonella enterica,Positive
64,21079.0,Salmonella enterica,Positive
65,dbAMP_21978,Staphylococcus aureus,Positive
66,dbAMP_02325,Staphylococcus aureus,Positive
67,20390.0,Salmonella enterica,Positive
68,dbAMP_19277,Salmonella enterica,Positive
69,dbAMP_05528,Pseudomonas aeruginosa,Positive
70,dbAMP_19788,Candida albicans,Positive
71,dbAMP_14712,Escherichia coli,Positive
72,dbAMP_24308,Escherichia coli,Positive
73,dbAMP_23311,Escherichia coli,Positive
74,dbAMP_15913,Staphylococcus epidermidis,Positive
75,dbAMP_01906,Escherichia coli,Positive
76,dbAMP_18142,Klebsiella pneumoniae,Positive
77,dbAMP_14776,Pseudomonas aeruginosa,Positive
