,ID,Pathogens,Link
0,dbAMP_11933,Escherichia coli,Positive
1,dbAMP_02166,Staphylococcus aureus,Positive
2,dbAMP_14788,Staphylococcus aureus,Positive
3,dbAMP_16004,Escherichia coli,Positive
4,dbAMP_23161,Staphylococcus aureus,Positive
5,DRAMP01305,Pseudomonas aeruginosa,Positive
6,dbAMP_00235,Pseudomonas aeruginosa,Positive
7,20279.0,Staphylococcus aureus,Positive
8,dbAMP_03271,Bacillus cereus,Positive
9,dbAMP_33008,Staphylococcus aureus,Positive
10,dbAMP_21310,Pseudomonas aeruginosa,Positive
11,dbAMP_23310,Bacillus subtilis,Positive
12,dbAMP_15795,Staphylococcus aureus,Positive
13,dbAMP_27621,Pseudomonas aeruginosa,Positive
14,dbAMP_14786,Staphylococcus aureus,Positive
15,dbAMP_31341,Cryptococcus neoformans,Positive
16,DRAMP20827,Candida albicans,Positive
17,19902.0,Staphylococcus aureus,Positive
18,dbAMP_16163,Pseudomonas aeruginosa,Positive
19,dbAMP_04605,Pseudomonas aeruginosa,Positive
20,dbAMP_14796,Staphylococcus aureus,Positive
21,dbAMP_17793,Staphylococcus aureus,Positive
22,dbAMP_33837,Staphylococcus aureus,Positive
23,19001.0,Acinetobacter baumannii,Positive
24,dbAMP_14707,Staphylococcus epidermidis,Positive
25,dbAMP_16171,Escherichia coli,Positive
26,dbAMP_17028,Escherichia coli,Positive
27,dbAMP_24891,Staphylococcus aureus,Positive
28,dbAMP_21653,Escherichia coli,Positive
29,dbAMP_21024,Escherichia coli,Positive
30,dbAMP_20524,Staphylococcus aureus,Positive
31,dbAMP_16746,Pseudomonas aeruginosa,Positive
32,dbAMP_10416,Enterobacter cloacae,Positive
33,dbAMP_03692,Micrococcus luteus,Positive
34,20983.0,Pseudomonas aeruginosa,Positive
35,8833.0,Escherichia coli,Positive
36,dbAMP_16633,Bacillus subtilis,Positive
37,dbAMP_27083,Staphylococcus aureus,Positive
38,20497.0,Candida albicans,Positive
39,dbAMP_15971,Pseudomonas aeruginosa,Positive
40,dbAMP_32937,Staphylococcus aureus,Positive
41,dbAMP_24455,Candida albicans,Positive
42,dbAMP_15998,Staphylococcus epidermidis,Positive
43,dbAMP_16156,Bacillus subtilis,Positive
44,dbAMP_22742,Klebsiella pneumoniae,Positive
45,dbAMP_23460,Escherichia coli,Positive
46,dbAMP_04880,Staphylococcus epidermidis,Positive
47,dbAMP_15796,Staphylococcus aureus,Positive
48,dbAMP_33843,Staphylococcus aureus,Positive
49,dbAMP_01930,Staphylococcus aureus,Positive
50,20842.0,Bacillus subtilis,Positive
51,dbAMP_33927,Enterococcus faecalis,Positive
52,dbAMP_18874,Staphylococcus aureus,Positive
53,dbAMP_24309,Salmonella enterica,Positive
54,dbAMP_04596,Staphylococcus aureus,Positive
55,dbAMP_04880,Candida albicans,Positive
56,dbAMP_02112,Micrococcus luteus,Positive
57,dbAMP_18936,Staphylococcus aureus,Positive
58,dbAMP_20421,Pseudomonas aeruginosa,Positive
59,dbAMP_25194,Pseudomonas aeruginosa,Positive
60,dbAMP_15959,Cryptococcus neoformans,Positive
61,dbAMP_22039,Candida albicans,Positive
62,dbAMP_25195,Staphylococcus aureus,Positive
63,21729.0,Enterococcus faecalis,Positive
64,dbAMP_27622,Pseudomonas aeruginosa,Positive
