,PeptideID,TargetID,ID,Pathogens,Link
0,1024,7,19608.0,Escherichia coli,Positive
1,3614,14,18828.0,Staphylococcus aureus,Positive
2,4772,7,dbAMP_17970,Escherichia coli,Positive
3,1413,2,dbAMP_11722,Bacillus megaterium,Positive
4,1814,10,dbAMP_15783,Micrococcus luteus,Positive
5,3110,7,dbAMP_27379,Escherichia coli,Positive
6,7609,9,22107.0,Listeria monocytogenes,Positive
7,6931,3,18129.0,Bacillus subtilis,Positive
8,4004,7,dbAMP_20472,Escherichia coli,Positive
9,4633,11,dbAMP_24164,Pseudomonas aeruginosa,Positive
10,7788,14,dbAMP_25121,Staphylococcus aureus,Positive
11,902,13,dbAMP_21455,Salmonella enterica,Positive
12,374,7,dbAMP_31632,Escherichia coli,Positive
13,3167,7,6470.0,Escherichia coli,Positive
14,1191,0,dbAMP_19311,Acinetobacter baumannii,Positive
15,707,11,18814.0,Pseudomonas aeruginosa,Positive
16,5780,13,dbAMP_11278,Salmonella enterica,Positive
17,3135,7,dbAMP_20756,Escherichia coli,Positive
18,2720,3,dbAMP_22900,Bacillus subtilis,Positive
19,3706,14,dbAMP_21605,Staphylococcus aureus,Positive
20,1001,7,dbAMP_01734,Escherichia coli,Positive
21,5680,13,19477.0,Salmonella enterica,Positive
22,7520,12,dbAMP_03645,Saccharomyces cerevisiae,Positive
23,6946,3,dbAMP_24873,Bacillus subtilis,Positive
24,6562,11,dbAMP_16417,Pseudomonas aeruginosa,Positive
25,1093,14,dbAMP_10576,Staphylococcus aureus,Positive
26,6272,7,dbAMP_24945,Escherichia coli,Positive
27,4105,15,dbAMP_03287,Staphylococcus epidermidis,Positive
28,4494,10,21923.0,Micrococcus luteus,Positive
29,5986,11,dbAMP_20519,Pseudomonas aeruginosa,Positive
30,7045,10,dbAMP_19391,Micrococcus luteus,Positive
31,2259,11,17219.0,Pseudomonas aeruginosa,Positive
32,2329,11,dbAMP_18193,Pseudomonas aeruginosa,Positive
33,2872,13,dbAMP_21127,Salmonella enterica,Positive
34,3949,9,4889.0,Listeria monocytogenes,Positive
35,5884,3,dbAMP_05768,Bacillus subtilis,Positive
36,4405,14,dbAMP_00973,Staphylococcus aureus,Positive
