,PeptideID,TargetID,ID,Pathogens,Link
0,11297,7,dbAMP_33940,Escherichia coli,Positive
1,5075,7,dbAMP_16373,Escherichia coli,Positive
2,1995,11,5450.0,Pseudomonas aeruginosa,Positive
3,8157,7,dbAMP_21767,Escherichia coli,Positive
4,3637,14,dbAMP_04932,Staphylococcus aureus,Positive
5,6825,0,dbAMP_19242,Acinetobacter baumannii,Positive
6,1070,7,20150.0,Escherichia coli,Positive
7,7861,14,dbAMP_21250,Staphylococcus aureus,Positive
8,7408,12,dbAMP_20496,Saccharomyces cerevisiae,Positive
9,477,14,18316.0,Staphylococcus aureus,Positive
10,8596,8,dbAMP_22530,Klebsiella pneumoniae,Positive
11,10188,11,dbAMP_27064,Pseudomonas aeruginosa,Positive
12,3718,11,dbAMP_05292,Pseudomonas aeruginosa,Positive
13,7129,14,dbAMP_19779,Staphylococcus aureus,Positive
14,1569,11,21586.0,Pseudomonas aeruginosa,Positive
15,3982,13,dbAMP_10501,Salmonella enterica,Positive
16,2803,7,dbAMP_02296,Escherichia coli,Positive
17,4075,3,dbAMP_10930,Bacillus subtilis,Positive
18,8278,6,dbAMP_21973,Enterococcus faecium,Positive
19,929,11,19890.0,Pseudomonas aeruginosa,Positive
20,3636,7,dbAMP_04929,Escherichia coli,Positive
21,4329,11,dbAMP_14726,Pseudomonas aeruginosa,Positive
22,3340,2,dbAMP_03793,Bacillus megaterium,Positive
23,6240,9,dbAMP_18445,Listeria monocytogenes,Positive
24,1095,7,20175.0,Escherichia coli,Positive
25,8278,14,dbAMP_21973,Staphylococcus aureus,Positive
26,10587,7,dbAMP_31691,Escherichia coli,Positive
27,4077,2,dbAMP_10962,Bacillus megaterium,Positive
28,7487,8,dbAMP_20658,Klebsiella pneumoniae,Positive
29,4222,14,dbAMP_11911,Staphylococcus aureus,Positive
30,9370,14,dbAMP_23956,Staphylococcus aureus,Positive
31,4788,15,dbAMP_16034,Staphylococcus epidermidis,Positive
32,1294,9,20580.0,Listeria monocytogenes,Positive
33,3738,10,dbAMP_05488,Micrococcus luteus,Positive
34,93,8,16646.0,Klebsiella pneumoniae,Positive
35,8306,11,dbAMP_22003,Pseudomonas aeruginosa,Positive
36,4953,11,dbAMP_16214,Pseudomonas aeruginosa,Positive
37,752,0,19488.0,Acinetobacter baumannii,Positive
38,9653,11,dbAMP_24395,Pseudomonas aeruginosa,Positive
39,4760,7,dbAMP_16003,Escherichia coli,Positive
40,3855,11,dbAMP_06416,Pseudomonas aeruginosa,Positive
41,7103,1,dbAMP_19739,Bacillus cereus,Positive
42,5160,14,dbAMP_16507,Staphylococcus aureus,Positive
43,10321,1,dbAMP_27451,Bacillus cereus,Positive
44,9987,14,dbAMP_25076,Staphylococcus aureus,Positive
45,2351,4,dbAMP_00399,Cryptococcus neoformans,Positive
46,9088,11,dbAMP_23379,Pseudomonas aeruginosa,Positive
47,4676,14,dbAMP_15899,Staphylococcus aureus,Positive
48,8909,2,dbAMP_23073,Bacillus megaterium,Positive
49,8341,7,dbAMP_22064,Escherichia coli,Positive
50,825,14,19647.0,Staphylococcus aureus,Positive
51,7863,7,dbAMP_21252,Escherichia coli,Positive
52,3693,3,dbAMP_05206,Bacillus subtilis,Positive
53,11203,0,dbAMP_33593,Acinetobacter baumannii,Positive
54,8953,7,dbAMP_23148,Escherichia coli,Positive
55,173,14,17429.0,Staphylococcus aureus,Positive
56,5849,7,dbAMP_17753,Escherichia coli,Positive
57,10645,2,dbAMP_31874,Bacillus megaterium,Positive
58,8846,7,dbAMP_22882,Escherichia coli,Positive
59,5465,14,dbAMP_17122,Staphylococcus aureus,Positive
60,5484,8,dbAMP_17147,Klebsiella pneumoniae,Positive
61,3534,3,dbAMP_04605,Bacillus subtilis,Positive
62,3967,7,dbAMP_10431,Escherichia coli,Positive
63,798,15,19604.0,Staphylococcus epidermidis,Positive
64,1733,14,21944.0,Staphylococcus aureus,Positive
65,8181,3,dbAMP_21824,Bacillus subtilis,Positive
66,1948,8,2854.0,Klebsiella pneumoniae,Positive
67,3268,14,dbAMP_03593,Staphylococcus aureus,Positive
68,7,6,1026.0,Enterococcus faecium,Positive
69,3106,3,dbAMP_03176,Bacillus subtilis,Positive
70,8648,6,dbAMP_22629,Enterococcus faecium,Positive
